del;del_nom;gou;gou_nom;reg;reg_nom;zon;zon_nom;cap_gou;POPTO2004;POPCO2004;NBLOG2004;IMMIG9404;EMIG9404;POPTO2010;SUP2010;IDRVA2011
TS1110;Carthage;TS111;Tunis;TS11;Nord-est;TS1;Nord;1;20715;20715;6432;3265;2379;21127;8,302;0,513
TS1111;La Medina;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;26703;4733;8265;2771;42243;25757;1,523;0,418
TS1112;Bab El Bhar;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;39806;39806;16125;6812;12701;36753;5,721;1
TS1113;Bab Souika;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;33284;33284;9629;2548;7199;31762;2,218;0,922
TS1114;El Omrane;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;40801;40801;9779;3645;4446;41702;4,922;0,42
TS1115;El Omrane Superieur;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;62138;62138;15679;8805;6375;65237;3,374;0,462
TS1116;Ettahrir;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;21956;21956;6027;3790;2758;22980;1,809;0,501
TS1117;El Menzah;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;43320;43320;13707;5995;6856;46346;10,732;0,654
TS1118;Cite El Khadhra;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;36818;36818;11035;6755;4073;38860;19,758;0,791
TS1119;Le Bardo;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;70244;70244;19594;8507;12838;68560;6,795;0,476
TS111A;Sijoumi;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;36171;36171;7190;1944;4285;34361;2,044;0,317
TS111B;Ezzouhour;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;40434;40434;9601;3915;6335;39198;2,842;0,38
TS111C;El Hrairia;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;96245;96245;22466;10600;3513;98606;24,253;0,422
TS111D;Sidi Hassine;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;79381;79381;18458;10625;1699;85425;67,351;0,397
TS111E;El Ouardia;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;33734;33734;8462;2356;6430;32936;4,171;0,401
TS111F;El Kabaria;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;81261;81261;20040;10131;3153;83516;14,339;0,428
TS111G;Sidi El Bechir;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;29911;29911;8694;3246;2778;27517;2,697;0,545
TS111H;Djebel Djelloud;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;26490;26490;5724;1550;2285;26056;5,326;0,356
TS111I;La Goulette;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;28407;28407;8638;3981;2765;28986;11,98;0,61
TS111J;Le Kram;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;58152;58152;16803;7522;3212;60927;10,348;0,48
TS111K;La Marsa;TS111;Tunis;TS11;Nord-est;TS1;Nord;0;77890;77890;23237;7386;5026;82057;31,571;0,588
TS1120;Ariana Ville;TS112;Ariana;TS11;Nord-est;TS1;Nord;1;97687;97687;32121;16961;15426;109500;18,612;0,638
TS1121;Soukra;TS112;Ariana;TS11;Nord-est;TS1;Nord;0;89151;89151;25163;19129;2832;107829;27,895;0,557
TS1122;Raoued;TS112;Ariana;TS11;Nord-est;TS1;Nord;0;60896;53911;17499;14053;1443;77419;57,08;0,531
TS1123;Kalaat El Andalous;TS112;Ariana;TS11;Nord-est;TS1;Nord;0;23045;15313;4778;728;528;24367;188,206;0,383
TS1124;Sidi Thabet;TS112;Ariana;TS11;Nord-est;TS1;Nord;0;19404;8909;4802;1298;723;20231;97,08;0,358
TS1125;Cite Ettadhamen;TS112;Ariana;TS11;Nord-est;TS1;Nord;0;78311;78311;18367;5651;5245;82922;3,376;0,386
TS1126;El Mnihla;TS112;Ariana;TS11;Nord-est;TS1;Nord;0;53752;40176;14370;7258;985;69247;22,907;0,466
TS1130;Ben Arous;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;1;32329;32329;8800;3963;9381;30378;6,644;0,489
TS1131;La Nouvelle Medina;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;42603;42603;11110;6070;2295;45884;8,114;0,468
TS1132;El Mourouj;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;81986;81986;23444;21829;5773;113339;16,099;0,557
TS1133;Hammam Lif;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;38401;38401;11549;3130;4802;38631;11,516;0,439
TS1134;Hammam Choott;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;24847;24847;7168;4997;1551;29153;26,187;0,456
TS1135;Bou Mhel El Bassatine;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;27977;27977;7831;5831;1135;35185;20,057;0,51
TS1136;Ezzahra;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;31792;31792;9783;5508;3991;33665;7,081;0,523
TS1137;Rades;TS113;Ben Arous;TS11;Nord-est;TS1;Nord;0;44857;44857;13465;7221;3708;48087;19,213;0,504
